SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
11,"<div id=sub11in1"" class=""noChange"">passed</div>""",#sub11in1,passed,noChange,47.896,1436443160014,1436443163019," ""718""",389.046875,718,389,114,42
11,"<div id=sub11in2"" class=""noChange"">on</div>""",#sub11in2,on,noChange,47.896,1436443160014,1436443163019," ""718""",511.125,718,511,46,42
11,"<div id=sub11in3"" class=""noChange"">to</div>""",#sub11in3,to,noChange,47.896,1436443160014,1436443163019," ""718""",565.609375,718,565,38,42
11,"<div id=sub11in4"" class=""noChange"">the</div>""",#sub11in4,the,noChange,47.896,1436443160014,1436443163019," ""718""",611.1875,718,611,55,42
11,"<div id=sub11in5"" class=""noChange"">following</div>""",#sub11in5,following,noChange,47.896,1436443160014,1436443163019," ""718""",674.5625,718,674,136,42
11,"<div id=sub11in6"" class=""noChange"">generation</div>""",#sub11in6,generation,noChange,47.896,1436443160014,1436443163019," ""718""",817.96875,718,817,163,42
12,"<div id=sub12in0"" class=""noChange"">minds</div>""",#sub12in0,minds,noChange,51.058,1436443163270,1436443167030," ""718""",247.1171875,718,247,96,42
12,"<div id=sub12in1"" class=""noChange"">such</div>""",#sub12in1,such,noChange,51.058,1436443163270,1436443167030," ""718""",351.3671875,718,351,78,42
12,"<div id=sub12in2"" class=""noChange"">as</div>""",#sub12in2,as,noChange,51.058,1436443163270,1436443167030," ""718""",437.8515625,718,437,45,42
12,"<div id=sub12in3"" class=""noChange"">Michelangeloand</div>""",#sub12in3,Michelangeloand,noChange,51.058,1436443163270,1436443167030," ""718""",490.5390625,718,490,253,42
12,"<div id=sub12in4"" class=""noChange"">Leonardo</div>""",#sub12in4,Leonardo,noChange,51.058,1436443163270,1436443167030," ""718""",751.3828125,718,751,146,42
12,"<div id=sub12in5"" class=""noChange control"">Dicaprio</div>""",#sub12in5,Dicaprio,control,51.058,1436443163270,1436443167030," ""718""",905.5078125,718,905,128,42
13,"<div id=sub13in0"" class=""noChange"">It's</div>""",#sub13in0,It's,noChange,57.971,1436443170037,1436443171793," ""718""",574.46875,718,574,51,42
13,"<div id=sub13in1"" class=""noChange"">odd.</div>""",#sub13in1,odd.,noChange,57.971,1436443170037,1436443171793," ""718""",633.25,718,633,73,42
14,"<div id=sub14in0"" class=""noChange"">Without</div>""",#sub14in0,Without,noChange,60.583,1436443172795,1436443175550," ""718""",459.921875,718,459,120,42
