SubNum,WordAltered,WordId,WordUnaltered,AlteredClass,WordShownAt,Starttime,Stoptime,Top,Left,EyeTop,EyeLeft,WordWidth,WordHeight
7,"<div id=sub7in1"" class=""noChange control"">become</div>""",#sub7in1,become,control,36.371,1436442883613,1436442885618," ""718""",293.1640625,718,293,125,42
7,"<div id=sub7in2"" class=""noChange control"">nice</div>""",#sub7in2,nice,control,36.371,1436442883613,1436442885618," ""718""",425.8984375,718,425,70,42
7,"<div id=sub7in3"" class=""noChange control"">fur</div>""",#sub7in3,fur,control,36.371,1436442883613,1436442885618," ""718""",503.4921875,718,503,48,42
7,"<div id=sub7in4"" class=""noChange control"">coats</div>""",#sub7in4,coats,control,36.371,1436442883613,1436442885618," ""718""",559.7265625,718,559,88,42
7,"<div id=sub7in5"" class=""noChange"">in</div>""",#sub7in5,in,noChange,36.371,1436442883613,1436442885618," ""718""",655.1015625,718,655,36,42
7,"<div id=sub7in6"" class=""noChange"">the</div>""",#sub7in6,the,noChange,36.371,1436442883613,1436442885618," ""718""",698.8984375,718,698,56,42
7,"<div id=sub7in7"" class=""noChange"">next</div>""",#sub7in7,next,noChange,36.371,1436442883613,1436442885618," ""718""",762.2734375,718,762,71,42
7,"<div id=sub7in8"" class=""noChange"">twenty</div>""",#sub7in8,twenty,noChange,36.371,1436442883613,1436442885618," ""718""",841.6484375,718,841,104,42
7,"<div id=sub7in9"" class=""noChange"">years.</div>""",#sub7in9,years.,noChange,36.371,1436442883613,1436442885618," ""718""",953.0234375,718,953,98,42
8,"<div id=sub8in0"" class=""noChange"">So</div>""",#sub8in0,So,noChange,38.708,1436442885868,1436442889123," ""718""",147.6875,718,147,50,42
8,"<div id=sub8in1"" class=""noChange"">I</div>""",#sub8in1,I,noChange,38.708,1436442885868,1436442889123," ""718""",205.71875,718,205,20,42
8,"<div id=sub8in2"" class=""noChange"">don't</div>""",#sub8in2,don't,noChange,38.708,1436442885868,1436442889123," ""718""",233.5,718,233,79,42
8,"<div id=sub8in3"" class=""noChange"">need</div>""",#sub8in3,need,noChange,38.708,1436442885868,1436442889123," ""718""",320.78125,718,320,82,42
8,"<div id=sub8in4"" class=""noChange"">to</div>""",#sub8in4,to,noChange,38.708,1436442885868,1436442889123," ""718""",410.859375,718,410,38,42
8,"<div id=sub8in5"" class=""noChange"">tell</div>""",#sub8in5,tell,noChange,38.708,1436442885868,1436442889123," ""718""",456.4375,718,456,52,42
8,"<div id=sub8in6"" class=""noChange"">you</div>""",#sub8in6,you,noChange,38.708,1436442885868,1436442889123," ""718""",516.234375,718,516,62,42
8,"<div id=sub8in7"" class=""noChange"">that</div>""",#sub8in7,that,noChange,38.708,1436442885868,1436442889123," ""718""",586.71875,718,586,65,42
8,"<div id=sub8in8"" class=""noChange"">the</div>""",#sub8in8,the,noChange,38.708,1436442885868,1436442889123," ""718""",658.984375,718,658,56,42
8,"<div id=sub8in9"" class=""noChange"">situation</div>""",#sub8in9,situation,noChange,38.708,1436442885868,1436442889123," ""718""",722.359375,718,722,130,42
8,"<div id=sub8in10"" class=""noChange"">is</div>""",#sub8in10,is,noChange,38.708,1436442885868,1436442889123," ""718""",860.4375,718,860,34,42
8,"<div id=sub8in11"" class=""noChange"">quite</div>""",#sub8in11,quite,noChange,38.708,1436442885868,1436442889123," ""718""",902.4375,718,902,80,42
8,"<div id=sub8in12"" class=""noChange"">dramatic.</div>""",#sub8in12,dramatic.,noChange,38.708,1436442885868,1436442889123," ""718""",990.71875,718,990,143,42
9,"<div id=sub9in0"" class=""noChange"">However</div>""",#sub9in0,However,noChange,42.43,1436442889624,1436442891629," ""718""",212.171875,718,212,137,42
